Date,Tweet_id,Verified,Tweet,User,Location,Source,Likes,Followers,Following,Retweets
2020-11-21 20:01:36,1330239963737231366,False,"@manickamtagore Congress Calling Trinamool Congress Is B Team Of BJP And Even Left Which Was Your Alliance Partner Now In Bengal

Just See The Date Sir

BJP Didn't Not Get Deposits In 2011🤣🤣

But Ur Leaders Called B Team Of BJP https://t.co/Xz2TkY9aAo",KumarReddy272,India,Twitter for Android,1,20,132,0
2020-11-21 19:03:30,1330225341340798983,True,"On Saturday BJP’s State President Dilip Ghosh in a Press Conference said not only central leaders &amp; new leaders sent by BJP in Bengal are outsider but also Trinamool has had many outsiders ,he named Ex-MP K.D. Singh &amp; Ahamed Hassan(Imran).I have sent a PRESS Release to the Media- https://t.co/bNkv0cCmcr",AhamedHassanMP,"Kolkata, India",Twitter for iPhone,53,770,138,12
2020-11-21 18:24:42,1330215578234216449,False,"At least five Trinamool Congress MPs in West Bengal including Saugata Roy and Suvendu Adhikari may resign from Mamata Banerjee led Trinamool Congress party any moment, Bharatiya Janata Party MP Arjun Singh said today.",DeshGujarat,"Gujarat, India",TweetDeck,50,437703,191,6
2020-11-21 18:08:53,1330211595717373952,False,The TMC and the BJP are the culprits for the dirty politics of West Bengal at the moment. I posted the following for Trinamool and BJP. It is not my goal to hurt anyone's religious sentiments.The person who wrote this article is certainly to be commended. https://t.co/W24DXhr3RO,DrDIPANKARROY3,,Twitter for Android,0,19,178,0
2020-11-21 16:05:51,1330180633054867459,False,"Janata Janardan is everything in a democracy.  Mamta Didi's real face has been revealed to the public of West Bengal.  The public is troubled by the Trinamool government.  The winds are now blowing towards the BJP.
#कमल_खिलेगा_बंगाल_में
#कमल_खिलेगा_बंगाल_में https://t.co/7BjOHWNGJY",aprichitrahul,Bundelkhand Uttar Pradesh ,Twitter for Android,3,3364,3113,0
2020-11-21 16:02:57,1330179903736700932,False,"Trinamool : BJP bringing Outsiders to Bengal.              Trinamool campaign run by PK  who is not from Bengal, Bengal bureaucracy 19 out of 25 are not from Bengal , 70 % of Khaki officers are not from Bengal.",Satyanewshi,"Hobart , 🇦🇺",Twitter Web App,1216,14204,260,300
2020-11-21 15:58:20,1330178743852265480,False,"Janata Janardan is everything in a democracy.  Mamta Didi's real face has been revealed to the public of West Bengal.  The public is troubled by the Trinamool government.  The winds are now blowing towards the BJP.
#कमल_खिलेगा_बंगाल_में https://t.co/PhK3ljxCKI",Raj20444072,काशी ,Twitter for Android,20,883,1465,10
2020-11-21 13:05:43,1330135302065754124,False,"@chandrachurg Truth is while Netaji was a Bengali , no political leader from Bengal whether Congress or Communists ever tried to promote Netaji as the ideological fountainhead but instead revered every opposer of Netaji . Now Trinamool is showing some courage but it needs to become ideological",sid_deshmuk,,Twitter for Android,0,49,128,0
2020-11-21 12:39:28,1330128696808714241,False,@Pmo @narendramodi we want Sonar Bangla. Literally frustrated with these 32 years left front &amp; 9 Years Trinamool Government in West Bengal. People want immediate change. We belive BJP can only make the change in true sense. @AmitShah @jdhankhar1 @MamataOfficial @itspcofficial,Bhaskar88804426,Omnipresent,Twitter Web App,1,20,23,0
2020-11-21 11:21:49,1330109155009507331,True,"Imitation is the best form of flattery.😊

Trinamool’s new series of fact-filled Press Conferences getting major traction all this while. Issues range from good governance, development to understanding Bengal. So ‘they’ too started a 3pm presser from Fri. Good. Imitation is...😊 https://t.co/re9EPKz1IK",derekobrienmp,"Kolkata, India",Twitter Media Studio,287,1228472,682,73
2020-11-21 08:21:26,1330063759646330880,True,"Amid speculation has claimed that Trinamool Congress’s Saugata Roy is likely to resign from the party with four other MPs
https://t.co/WGtp0S4mW8",IndiaToday,India,Twitter Web App,35,5419931,245,8
2020-11-21 06:14:58,1330031932021813250,True,"The #TrinamoolCongress on Friday alleged that “outsiders are running riot in West Bengal” as the BJP has brought in several leaders from other States and assigned responsibilities to various zones in the State. 
https://t.co/jwFFbQ7Vc5",THKolkata,Kolkata,TweetDeck,1,7676,68,0
2020-11-21 05:16:20,1330017179396235264,False,"@karthikck31 @Forestz_1 @TheHariprasad @Abhina_Prakash Similar in West Bengal 🤠
Before 2011 the most of the Right voted for Trinamool or Congress to throw out left from the government.",RealManasBose,Bharat,Twitter for Android,0,141,247,0
2020-11-21 05:07:11,1330014874999476227,False,"@sonaliranade He is very correct , Trinamool is creating ground for bjp, Bengal is not up , on the ground situation is different.",frank_donk,earth,Twitter for Android,0,1689,334,0
2020-11-21 04:50:28,1330010669320609797,False,"Minister Babul Supriyo warned that the Trinamool Congress should mend its way &amp; desist from ""intimidating voters"", otherwise there are provisions in the Constitution to take care of such things.

He alleged that more than 130 BJP workers have been killed in West Bengal.",vijaythakurx,GREATER NOIDA,Twitter Web App,0,497,667,0
2020-11-21 03:32:25,1329991026933723136,False,"To defeat BJP, it is necessary to defeat Trinamool: Yechury  https://t.co/BSR30lFrPF 

There goes opposition unity in West Bengal.",sonaliranade,Seattle,Twitter Web App,87,73716,1143,15
2020-11-21 03:22:30,1329988531410747392,False,"@derekobrienmp Trinamool &amp; Good governance! My foot. Political murders, corruption law &amp; order less state. U have destroyed Bengal",KaalaChaashma,,Twitter for Android,0,181,1245,0
2020-11-21 03:15:31,1329986774857289730,True,"Mon-Sat  a 30min press conference daily 3pm from Trinamool Bhavan’s new Media Centre. Good governance has been theme all week:women, health, understanding Bengal’s ethos, peace &amp; development. All this while ‘they’ spew hate, divisiveness, Fake News &amp; fake narratives pre election",derekobrienmp,"Kolkata, India",Twitter for iPhone,140,1228472,682,27
2020-11-21 02:59:59,1329982864297902082,False,"@Bharatwashi3 @nusratchirps @amitmalviya @narendramodi @DrAmitMitra @Trinamool Let #actofGod. Minister @nsitharaman confirm how much she allocated funds to West Bengal
How much actually disbursement done??",DebkanchanMit,,Twitter for Android,1,248,748,0
2020-11-21 00:51:00,1329950405040562176,False,Manta ‘outsider’ jib will help BJP raise issue of illegal Bangladeshi infiltrators in W Bengal https://t.co/r5gGdzw1pN,rvinpandya,Bhopal (India),Twitter for iPhone,0,104,223,0
2020-11-20 23:11:36,1329925389033099267,False,@the_hindu @SitaramYechury is talking about 2026 Bengal election. He knows BJP is winning in 2021. He will first defeat Trinamool in 2021 so that he can defeat BJP in 2026!,gpr90662b,Third Rock From Sun,Twitter Web App,1,28,308,0
2020-11-20 19:27:57,1329869105621438464,False,"@the_hindu Only foolish can think about encouraging BJP to eradicate Trinamool in a hope that they can come back to power...Bengal may want change and they will take CPIM any day over BJP,  but it's their stupidity that they wont be able to comeback..",pralay03,India,Twitter for Android,0,13,128,0
2020-11-20 18:50:44,1329859739996483584,False,Why I want freedom from TMC https://t.co/JAwoqdlEle via @dailyo_,suchithkc,India,Twitter Web App,0,622,324,0
2020-11-20 18:49:45,1329859494835154944,False,"The call of #26NovGeneralStrike is given against Modi Govt's war against Workers-Farmers-Commoners.But in West Bengal,Trinamool Congress's TU wing INTTUC starts propaganda against the Strike!At Sarisha,TMC goons attacked a Public Meeting in support of the Strike.@Dipankar_cpiml https://t.co/G2JOVD0qGb",SUNDARmyth,KOLKATA,Twitter Web App,1,12775,1597,2
2020-11-20 18:38:30,1329856662824386560,False,"Minutes of today’s press conference by Prof. Bratya Basu (Minister-in-Charge, Department of Science &amp; Technology &amp; Biotechnology, Government of West Bengal and Spokesperson of All India Trinamool Congress) on behalf of All India Trinamool Congress at Trinamool Bhavan:",abhijitdas20ad, Kolkata,Twitter for Android,3,124,550,1
2020-11-20 18:24:58,1329853256542027777,False,How Bengal 2021 will be the ultimate political battle of Mamata versus Modi https://t.co/3PV9Y6eZ6F via @dailyo_,suchithkc,India,Twitter Web App,0,622,324,0
2020-11-20 16:47:08,1329828635356794880,False,"Women form 48 per cent of the electorate in West Bengal, making them one of the most bankable vote banks.

The ruling Trinamool Congress had fielded 41 per cent women candidates in 2019’s Lok Sabha election and 45 women candidates in the 2016 assembly election.",Ash_Rokzz23,London,Twitter for Android,9,4260,1078,2
2020-11-20 15:20:00,1329806707581743111,True,"""A party heavyweight, while tensions simmered between #SuvenduAdhikari and #Mamata's nephew #AbhishekBanerjee since 2015, #Abhishek's increasing clout in recent times has been the final nail in the coffin,"" writes @Ishadrita.
https://t.co/NMwbmz8rCr",TheQuint,,Twitter Web App,6,598160,309,1
2020-11-20 14:57:38,1329801078158704640,False,"https://t.co/bGEmNG0DCR via @dailyo_ 

@mlamihirgoswami : I joined the TMC in 1998 when Mamata Banerjee formed this new party. I had faith in her; in her leadership. So why do I want freedom from a party that I have been with for more than two decades?

#WestBengal",indiaonthe_move,,Twitter Web App,0,1085,189,0
2020-11-20 13:53:03,1329784828468879361,True,"How #Bengal2021 will be the ultimate political battle of Mamata versus Modi | Aroon Purie

https://t.co/wsaXaXb8ma",DailyO_,"New Delhi, Delhi",Hootsuite Inc.,0,68330,41,0
2020-11-20 13:19:18,1329776334529310720,True,"#LeftRightCentre | @jdhankhar1, Governor of West Bengal, on Trinamool Congress' accusations that he is playing a partisan role

#NDTVExclusive https://t.co/al5rzCOuuB",ndtv,India,Twitter Web App,37,13992481,15,6
2020-11-20 13:16:05,1329775524147675145,True,"#LeftRightCentre | Jagdeep Dhankhar, Governor of West Bengal, on Trinamool Congress' accusations that he is playing a partisan role

#NDTVExclusive https://t.co/5yfvcDCSV9",ndtv,India,Twitter Web App,42,13992481,15,4
2020-11-20 12:47:00,1329768203497533440,True,"The hero of Nandigram, now #TMC's rebel leader, #SuvenduAdhikari says that in all the posts he holds, he's been elected, not selected, attacking #Mamata's nephew #AbhishekBanerjee. Here's a look at his journey in politics. @Ishadrita's report.
https://t.co/NMwbmyQQdR",TheQuint,,Twitter Web App,6,598160,309,0
2020-11-20 11:50:08,1329753892259844097,False,"Kolkata: Union Minister Babul Supriyo mentioned on Friday that the Trinamool Congress ought to mend its method and desist from ""intimidating voters"", in any other case there are provisions within the Constitution to deal with such issues. https://t.co/a7yIXdueqU https://t.co/8I22I60VWb",Worldsnews_biz,,Blog2Social APP,0,1,1,0
2020-11-20 10:21:38,1329731621994459137,False,"I think any alliance without trinamool congress in West Bengal will not fetch any benefit. 
Any subservience to Congress will be suicidal for Left in West Bengal, says CPI(ML) leader Dipankar Bhattacharya  https://t.co/kfB6lV9Juu",akbandyopadhyay,India,Twitter Web App,0,11,9,0
2020-11-20 09:37:48,1329720590404636673,False,"BJP's Babul Supriyo takes jibe at Mamata by starting President's Rule in Bengal...
https://t.co/IR7dVT7Y3n
Supriyo said this while referring to the alleged killing of BJP workers in West Bengal by the ruling Trinamool Congress. Till date, more than 100 BJP workers have been kil… https://t.co/MCglD3c23E",DeveloperGang,"Chandigarh, India",IFTTT,0,1332,4617,0
2020-11-20 08:10:44,1329698677607129090,True,"Union Minister @SuPriyoBabul Said on Friday that the Trinamool Congress should mend its way and desist from ""intimidating voters"", otherwise there are provisions in the Constitution to take care of such things. #TMC #WestBengal 
https://t.co/ZWr9lGpfVo",TheDailyPioneer,,Twitter Web App,0,24759,102,0
2020-11-20 07:08:13,1329682948526784513,False,Why I want freedom from TMC https://t.co/GuP06sLudK via @dailyo_,simple_lifeme,"Uttar Pradesh, India",Twitter for Android,0,552,1894,0
2020-11-20 06:18:05,1329670329417953281,False,"""The party is now run by three people - @MamataOfficial, @abhishekaitc and @PrashantKishor. Of these three, PK and Abhishek are one team"", said a senior party leader who did not wish to be named.
#Mustread  this @ishadrita piece.

https://t.co/odxw2rq82M",snjogdatta,India,Twitter Web App,0,916,362,0
2020-11-20 06:12:36,1329668951463186432,False,"The Quint: In The Suvendu Story, Picture Abhi Baaki Hai.
https://t.co/OZZewB3vOr

via @GoogleNews",jytmkh,"Darjeeling, India",Twitter for Android,2,1103,3117,0
2020-11-20 06:12:05,1329668821775314945,True,"""Talks are on at top levels of the [TMC] party to dissuade Suvendu [Adhikary] from public displays of dissent. Clearly till the elections come around, picture baaki hai,"" writes @ishadrita. 

https://t.co/gUZTtGHrAN",TheQuint,,Twitter Web App,4,598160,309,0
2020-11-20 03:55:56,1329634558241878016,True,"I have worked for the #TrinamoolCongress for 22 years. Leaving all organisational posts wasn't an easy or overnight decision. | Cooch Behar MLA Mihir Goswami writes.

https://t.co/tCqsM6Rv1M",DailyO_,"New Delhi, Delhi",Hootsuite Inc.,8,68330,41,3
2020-11-20 03:19:15,1329625323667824640,False,"BJP has got additional vigour to face Trinamool in Bengal. | My Op-Ed in The HillTimes.

@BJP4Bengal @AITCofficial 
@BJP4India @MamataOfficial @AmitShah @KailashOnline @amitmalviya @FirhadHakim

#BiharElectionResults
#WestBengal

https://t.co/MgwfvMHCyW",SagarneelSinha,"Tripura, India",Twitter for Android,0,188,914,0
2020-11-20 01:55:52,1329604339883655169,False,"Trinamool Neta ""Jai Shri Ram would not be allowed in West Bengal ,go to Gujarat if you want to chant it ."" https://t.co/rYSurgw8lH",Satyanewshi,"Hobart , 🇦🇺",Twitter Web App,90,14204,260,51
2020-11-19 20:13:57,1329518295645442048,False,"WEST BENGAL 
25 Mirik families join Hill Trinamool
https://t.co/j8K8LBdejZ
#WestBengal",teoi_news,,Twitter for Android,0,65,0,0
2020-11-19 18:43:49,1329495613382172672,False,"In the run-up to the West #Bengal elections, Trinamool has started a digital campaign called 'Mark Yourself safe from #BJP' &amp; 10 lakh people have joined
#TMC #Politics https://t.co/pRIiAE84Ud",Tuitwe,Kolkata,Twitter Web App,0,2100,2356,0
2020-11-19 18:16:52,1329488829758255105,True,"""I'm Still A Party Member"": Bengal Minister Holds Peace With Trinamool 

@Monideepa62 reports

Read more: https://t.co/P6VMEOUEID

https://t.co/HhrFfoM6Fk",ndtvvideos,,TweetDeck,3,248711,23,1
2020-11-19 16:21:15,1329459733787500544,False,Bengal Minister Holds Peace With Trinamool https://t.co/EuErWp8HYv,News_Headlines_,"New Delhi, India",WordPress.com,0,209,238,0
2020-11-19 16:04:25,1329455497007788033,True,"""I'm Still A Party Member"": Bengal Minister Holds Peace With Trinamool 

@Monideepa62 reports

Read more: https://t.co/dZ9wRdVOB9 https://t.co/c8DK9HtbTb",ndtv,India,Twitter Media Studio - LiveCut,52,13992481,15,1
2020-11-19 15:44:55,1329450590267650057,False,Why I quit TMC after 22 years https://t.co/36dwrY9ryC via @dailyo_,rkmarar9,Ayalur in Palakkad (Kerala),Twitter Web App,0,6555,7183,0
2020-11-19 15:37:16,1329448663870025731,False,"Steps taken by @MamataOfficial-led government in the last 9.5 years to develop the health sector of Bengal. From today's press conference by @Chandrimaaitc at Trinamool Bhavan.

Link - https://t.co/wJg6rjvsZt

#DidiShowsTheWay
#BanglarGorboMamata 

@AITCofficial
@BanglarGorboMB https://t.co/fnxcINhGIu",IAmJha71025080,"West Bengal, India",Twitter for Android,14,972,406,7
2020-11-19 15:36:59,1329448594630438914,True,"After 22 years of working for the #TrinamoolCongress, I have quit all organisational posts. The decision was not easy. | @mlamihirgoswami writes.

https://t.co/tCqsM6Rv1M",DailyO_,"New Delhi, Delhi",Hootsuite Inc.,30,68330,41,7
2020-11-19 15:33:40,1329447761188675587,False,"""I'm Still A Party Member"": Bengal Minister Holds Peace With Trinamool https://t.co/2410xjDww1 via @ndtv",rtushar_ind,Bhubaneswar,Twitter Web App,0,115,87,0
2020-11-19 15:22:26,1329444931337920512,False,"@Khan___Sk FYI 

New Delhi: All India Majlis-e-Ittehadul Muslimeen (AIMIM) president Asaduddin Owaisi has proposed pre-poll pact in West Bengal to Chief Minister Mamata Banerjee saying his party will help Trinamool Congress defeat the BJP in the upcoming state assembly elections.",Azhar8k,Jharkhand   INDIA  ,Twitter Web App,1,3292,3148,0
2020-11-19 15:16:02,1329443324030283779,True,"""I'm Still A Party Member"": Bengal Minister Holds Peace With Trinamool https://t.co/0skYPlDe0l https://t.co/cFCeQw8AqV",ndtvfeed,,NDTVfeed,6,244855,23,0
2020-11-19 15:05:25,1329440650836791309,False,@basu_bratya The State Government should take necessary steps to bring the company Infosys to Salt Lake Sector V. The Trinamool Govt is taking no steps to develop the It industry in Bengal which can fetch jobs for many. Noted IT giants should be allowed special facilities.,ANGSHUCHAUDHUR1,,Twitter Web App,0,4,33,0
2020-11-19 14:55:32,1329438163379625984,True,"""As the assembly election is approaching, the #BJP is seeing the Trinamool Congress' ghost in every single mishap across West Bengal,"" said a district #TMC leader.
@AITCofficial @BJP4Bengal @MamataOfficial @ArjunsinghWB
https://t.co/DcQtwCRvr3",Outlookindia,"New Delhi, India",Twitter Web App,5,227086,58,1
2020-11-19 14:45:57,1329435749444431879,True,"#BattleForBengal – If you are talking about organizational might, it is Trinamool only which has the strongest organizational might in Bengal: @touseefakhan (Lawyer) tells @AnchorAnandN on #TheRightStand. https://t.co/jxVSi7oSEW",CNNnews18,India,Twitter Media Studio - LiveCut,14,4545049,415,2
2020-11-19 13:58:24,1329423786400043010,False,"Steps taken by @MamataOfficial-led TMC government in the last 9.5 years to develop the health sector of West Bengal. From today's press conference by @Chandrimaaitc on behalf of @AITCofficial at Trinamool Bhavan.

Link - https://t.co/WmMrNFb28b

@BanglarGorboMB https://t.co/0Ku3SU7SjG",Rony15081947,,Twitter for Android,33,509,71,18
2020-11-19 13:55:12,1329422980800151553,False,West Bengal Assembly Elections  coming soon. Interesting  that who's going to win wheather Trinamool Congress or Bjp. Lets see,srinu11224,Bvrm,Twitter for Android,1,389,464,0
2020-11-19 13:44:35,1329420308294483968,False,"Steps taken by Mamata Banerjee-led TMC government in the last 9.5 years to develop the health sector of West Bengal:

From today's press conference by @Chandrimaaitc on behalf of All India Trinamool Congress

#BanglarGorboMamata https://t.co/YuLvLenqbS",NilanjanDas_,"Serampore, Hooghly",Twitter for Android,17,1412,603,8
2020-11-19 13:21:28,1329414491050749954,False,New post: Trinamool Congress Kicks Off Campaign to ‘Save Bengal from BJP’ https://t.co/aavWxwvZUL,TheClarionIndia,India,ClarionIndia,0,3536,459,0
2020-11-19 12:45:13,1329405365813874699,False,Today visited MLA &amp; State Vice President (West Bengal Trinamool Congress Committee) Jnb. #Chowdhary_Abdul_Karim sb Chhath Ghats of Islampur area to check arrangements for Chhath Puja. https://t.co/LRGIXoJkVw,AkilAkhter5,"Islampur, West Bengal",Twitter for Android,0,45,686,0
2020-11-19 12:27:15,1329400848418435072,False,"New Delhi: All India Majlis-e-Ittehadul Muslimeen (AIMIM) president Asaduddin Owaisi has proposed pre-poll pact in West Bengal to Chief Minister Mamata Banerjee saying his party will help Trinamool Congress defeat the BJP in the upcoming state assembly elections.
@ProfMA5",Azhar8k,Jharkhand   INDIA  ,Twitter Web App,0,3292,3148,0
2020-11-19 11:36:51,1329388163484192769,False,"AIMIM president Asaduddin Owaisi has proposed pre-poll pact in West Bengal to Chief Minister Mamata Banerjee saying his party will help Trinamool Congress to defeat the BJP in the upcoming state assembly elections.

Now it is your turn to reply this illegal polarisation in WB.",pradipkumarmu12,INDIA,Twitter Web App,3,633,649,0
2020-11-19 11:22:07,1329384454322679808,False,"In Mamata's regime , no one in Bengal can pronounce Jai Shri Ram... 

The Trinamool leader directly threatening to move to Gujarat , if anyone says Jai Shree Ram
#BJP4Kharagpur
@RakeshBoseBJP @BJP4Bengal @BjpMedinipur @ujjwalpareek 
@DilipGhoshBJP @224Kgp https://t.co/yX1rADVqTf",viccky57,"खड़गपुर रेलवे स्टेशन क्षेत्र, ",Twitter for Android,1,57,265,2
2020-11-19 10:35:59,1329372843386146816,False,"Addressing an annual meeting of cooperative societies, Bengal minister Subhendu Adhikari said he would not announce political decisions from apolitical platforms. Also, reiterates that he is still a ‘primary’ member of Trinamool and a minister in Mamata Banerjee’s cabinet .",sulagnaseng,"Kolkata, West Bengal",Twitter Web App,0,132,166,0
